gene,total,mean,var,sd,min,max,median
CNAG_00251,892,29.733333333333334,419.0298850574713,20.470219467740723,4,90,25.5
CNAG_00252,13264,442.1333333333333,14099.085057471264,118.73956820483752,233,676,423.5
CNAG_00253,9735,324.5,14212.672413793103,119.21691328747403,93,661,303
CNAG_00254,7474,249.13333333333333,10016.602298850576,100.08297706828357,111,502,246
CNAG_00255,12115,403.8333333333333,7536.557471264367,86.8133484624592,218,617,390.5
CNAG_00256,22831,761.0333333333333,38851.964367816094,197.10901645489506,380,1208,756.5
CNAG_00257,10348,344.93333333333334,12212.96091954023,110.51226592347217,122,580,358.5
CNAG_00258,7040,234.66666666666666,3397.7471264367814,58.29019751584979,124,341,235.5
CNAG_00259,8660,288.6666666666667,6705.885057471264,81.88946853821476,154,474,314
CNAG_00260,21257,708.5666666666667,17680.529885057473,132.96815364987765,395,1044,731.5
CNAG_00261,452082,15069.4,42962369.83448276,6554.5686230661095,7200,29348,12332
CNAG_00262,1111,37.03333333333333,188.44712643678162,13.727604541098263,12,75,37.5
CNAG_00263,3707,123.56666666666666,1385.1505747126437,37.21761108282803,65,187,108
CNAG_00264,36262,1208.7333333333333,469389.2367816092,685.1198703742355,355,2500,894.5
CNAG_00265,57761,1925.3666666666666,283412.0333333333,532.3645680671596,910,3288,1965.5
CNAG_00266,5391,179.7,1194.4931034482759,34.561439545370156,110,240,186.5
CNAG_00267,2382,79.4,626.4551724137931,25.029086527753925,32,123,77.5
CNAG_00268,25045,834.8333333333334,65195.9367816092,255.33495017644802,426,1661,842.5
CNAG_00269,4826,160.86666666666667,66842.74022988505,258.5396299020424,1,1074,60.5
CNAG_00270,84837,2827.9,300954.9896551724,548.5936471152144,1622,3723,2895.5
CNAG_00271,8230,274.3333333333333,4103.609195402299,64.05941925589319,118,379,276
CNAG_00272,4037,134.56666666666666,1976.3919540229886,44.45663003448404,66,225,123.5
CNAG_00273,1942,64.73333333333333,332.06436781609193,18.222633394108875,27,97,62.5
CNAG_00274,5467,182.23333333333332,3609.4954022988504,60.079076243721076,93,291,179
CNAG_00275,11120,370.6666666666667,56900.29885057471,238.53783526010022,92,793,325
CNAG_00276,4013,133.76666666666668,2921.909195402299,54.0546870807916,56,238,128
CNAG_00277,4586,152.86666666666667,2740.1885057471263,52.346809890834095,65,283,142
CNAG_00278,7517,250.56666666666666,3292.5988505747127,57.38117156850941,129,371,265.5
CNAG_00279,17589,586.3,19565.18275862069,139.87559743794014,247,813,595
CNAG_00280,54459,1815.3,195271.04482758621,441.8948345789824,983,2544,1757.5
CNAG_00283,2783,92.76666666666667,2363.633333333333,48.61721231553012,17,220,95
CNAG_00284,2781,92.7,2874.6310344827584,53.615585742233186,16,210,71.5
CNAG_00285,2981,99.36666666666666,2045.8954022988505,45.231575279873354,35,216,96.5
CNAG_00286,12748,424.93333333333334,5740.202298850575,75.76412276830357,260,579,422.5
CNAG_00287,153126,5104.2,1947219.3379310344,1395.4280124503143,2376,7340,5020.5
CNAG_00288,4359,145.3,720.4241379310345,26.840717910127413,93,206,145
CNAG_00289,4144,138.13333333333333,1910.3264367816091,43.707281278771035,50,230,138
CNAG_00290,11637,387.9,13361.196551724139,115.59064214599786,187,620,359.5
CNAG_00291,324,10.8,15.751724137931035,3.9688441816139663,3,20,10
CNAG_00292,52115,1737.1666666666667,216091.7988505747,464.8567508927613,896,2514,1673
CNAG_00293,26338,877.9333333333333,30765.098850574712,175.39982568570218,558,1280,873
CNAG_00294,13060,435.3333333333333,6901.747126436781,83.0767544288821,259,628,429.5
CNAG_00295,50,1.6666666666666667,3.67816091954023,1.9178532059415365,0,7,1
CNAG_00299,4826,160.86666666666667,1233.016091954023,35.114328869480374,86,226,154
CNAG_00300,9607,320.23333333333335,25637.49540229885,160.11713025875417,119,639,250.5
CNAG_00301,36889,1229.6333333333334,972189.5505747127,985.9967294949373,195,2921,619
CNAG_00302,4413,147.1,3833.3344827586207,61.91392801913492,43,253,154.5
CNAG_00303,371,12.366666666666667,37.4816091954023,6.122222569900763,4,26,11.5
CNAG_00304,5997,199.9,2597.058620689655,50.961344376788716,109,300,198
CNAG_00305,172469,5748.966666666666,3439024.722988506,1854.4607633995672,2454,9293,5657.5
CNAG_00306,1383,46.1,633.4724137931034,25.168877881087656,8,119,39
CNAG_00307,141760,4725.333333333333,1808863.7471264368,1344.940053357932,1824,7351,4729.5
CNAG_00308,2592,86.4,574.1103448275862,23.96059984281667,36,132,88.5
CNAG_00309,6111,203.7,2939.3206896551724,54.21550230012789,98,305,192
CNAG_00310,3985,132.83333333333334,719.7298850574713,26.8277819630597,80,188,133.5
CNAG_00311,30073,1002.4333333333333,70380.46091954023,265.29316033313074,523,1448,1023
CNAG_00312,8521,284.03333333333336,3755.619540229885,61.28310974673107,162,394,286.5
